Time,Type,Amount,Asset,Symbol,Transaction ID
21-02-11 05:53:43,COMMISSION,-0.83055815,USDT,BTCUSDT,90031489278841
21-02-11 05:53:43,COMMISSION,-1.49862741,USDT,BTCUSDT,90031489278844
21-02-11 05:53:43,COMMISSION,-0.03611128,USDT,BTCUSDT,90031489278842
21-02-11 05:53:43,REALIZED_PNL,-36.48597,USDT,BTCUSDT,90031489278844
21-02-11 05:53:43,REALIZED_PNL,-20.20504,USDT,BTCUSDT,90031489278841
21-02-11 05:53:43,COMMISSION,-1.78748301,USDT,BTCUSDT,90031489278840
21-02-11 05:53:43,REALIZED_PNL,-2.19665,USDT,BTCUSDT,90031489278843
21-02-11 05:53:43,REALIZED_PNL,-0.87864,USDT,BTCUSDT,90031489278842
21-02-11 05:53:43,REALIZED_PNL,-43.42833,USDT,BTCUSDT,90031489278840
21-02-11 05:53:43,COMMISSION,-0.09027824,USDT,BTCUSDT,90031489278843
21-02-11 05:58:24,COMMISSION,-0.78264747,USDT,BTCUSDT,90030489313893
21-02-11 05:58:24,COMMISSION,-0.87367564,USDT,BTCUSDT,90030489313892
21-02-11 06:01:33,COMMISSION,-1.66328526,USDT,BTCUSDT,90031489323198
21-02-11 06:01:33,REALIZED_PNL,-17.40535,USDT,BTCUSDT,90031489323198
21-02-11 06:01:48,COMMISSION,-0.6950656,USDT,BTCUSDT,90030489324945
21-02-11 06:11:14,COMMISSION,-0.68755406,USDT,BTCUSDT,90031489365239
21-02-11 06:11:14,REALIZED_PNL,18.77884,USDT,BTCUSDT,90031489365239
21-02-11 06:11:28,COMMISSION,-0.54192144,USDT,BTCUSDT,90030489365792
21-02-11 06:11:28,COMMISSION,-0.5780494,USDT,BTCUSDT,90030489365793
21-02-11 06:11:28,COMMISSION,-0.01806644,USDT,BTCUSDT,90030489365790
21-02-11 06:11:28,COMMISSION,-0.14453155,USDT,BTCUSDT,90030489365788
21-02-11 06:11:28,COMMISSION,-0.05419933,USDT,BTCUSDT,90030489365789
21-02-11 06:11:28,COMMISSION,-0.18064608,USDT,BTCUSDT,90030489365791
21-02-11 06:23:02,REALIZED_PNL,13.22736,USDT,BTCUSDT,90031489386674
21-02-11 06:23:02,COMMISSION,-1.51212331,USDT,BTCUSDT,90031489386674
21-02-11 06:23:13,COMMISSION,-0.018,USDT,BTCUSDT,90031489386830
